Set No,Sentence 1 (Similar),Sentence 2 (Similar),Sentence 3 (Different)
1,1. set: Ahmet yemek yiyor.,1. set: Ahmet yemek hazırlıyor.,1. set: Ahmet denizde yüzüyor.
2,2. set: Ayşe yemek yiyor.,2. set: Ayşe yemek hazırlıyor.,2. set: Ayşe sinemada film izliyor.
3,3. set: Köpek bahçede dolaşıyor.,3. set: Köpek bahçede oynuyor.,3. set: Köpek denizde yüzüyor.
4,4. set: Köpek televizyon izliyor.,4. set: Köpek film izliyor.,4. set: Köpek kahve içiyor.
5,5. set: Araba bahçede dolaşıyor.,5. set: Araba bahçede oynuyor.,5. set: Araba dağda kamp yapıyor.
6,6. set: Ayşe masanın üstünde oturuyor.,6. set (benzer): Ayşe masanın üstünde oturuyor.,6. set: Ayşe dağda kamp yapıyor.
7,7. set: Ahmet bahçede dolaşıyor.,7. set: Ahmet bahçede oynuyor.,7. set: Ahmet kahve içiyor.
8,8. set: Köpek bahçede dolaşıyor.,8. set: Köpek bahçede oynuyor.,8. set: Köpek bisiklet sürüyor.
9,9. set: Ayşe yemek yiyor.,9. set: Ayşe yemek hazırlıyor.,9. set: Ayşe kahve içiyor.
10,10. set: Araba masanın üstünde oturuyor.,10. set (benzer): Araba masanın üstünde oturuyor.,10. set: Araba markette alışveriş yapıyor.
11,11. set: Ahmet masanın üstünde oturuyor.,11. set (benzer): Ahmet masanın üstünde oturuyor.,11. set: Ahmet bisiklet sürüyor.
12,12. set: Köpek kitap okuyor.,12. set: Köpek dergi okuyor.,12. set: Köpek sinemada film izliyor.
13,13. set: Çocuk bahçede dolaşıyor.,13. set: Çocuk bahçede oynuyor.,13. set: Çocuk denizde yüzüyor.
14,14. set: Ayşe televizyon izliyor.,14. set: Ayşe film izliyor.,14. set: Ayşe denizde yüzüyor.
15,15. set: Fatma kitap okuyor.,15. set: Fatma dergi okuyor.,15. set: Fatma denizde yüzüyor.
16,16. set: Fatma masanın üstünde oturuyor.,16. set (benzer): Fatma masanın üstünde oturuyor.,16. set: Fatma sinemada film izliyor.
17,17. set: Çocuk yemek yiyor.,17. set: Çocuk yemek hazırlıyor.,17. set: Çocuk sinemada film izliyor.
18,18. set: Ahmet bahçede dolaşıyor.,18. set: Ahmet bahçede oynuyor.,18. set: Ahmet bisiklet sürüyor.
19,19. set: Kedi bahçede dolaşıyor.,19. set: Kedi bahçede oynuyor.,19. set: Kedi markette alışveriş yapıyor.
20,20. set: Köpek kitap okuyor.,20. set: Köpek dergi okuyor.,20. set: Köpek markette alışveriş yapıyor.
21,21. set: Ahmet yemek yiyor.,21. set: Ahmet yemek hazırlıyor.,21. set: Ahmet kahve içiyor.
22,22. set: Ahmet yemek yiyor.,22. set: Ahmet yemek hazırlıyor.,22. set: Ahmet parkta koşuyor.
23,23. set: Ahmet masanın üstünde oturuyor.,23. set (benzer): Ahmet masanın üstünde oturuyor.,23. set: Ahmet dağda kamp yapıyor.
24,24. set: Çocuk bahçede oynuyor.,24. set (benzer): Çocuk bahçede oynuyor.,24. set: Çocuk dağda kamp yapıyor.
25,25. set: Fatma masanın üstünde oturuyor.,25. set (benzer): Fatma masanın üstünde oturuyor.,25. set: Fatma markette alışveriş yapıyor.
